nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
32,40,5350000,0.26,0.017761384,0.025,2.26317,18.38234,0.017809617,0.007190383,0.287615336,-0.4345585,0.4595585,18.38234
1,135,5350000,0,0.007716383,0.007407407,NaN,0,0.007407407,0,0,0.007407407,0,0
2096,100,5350000,0.23,0.009188194,0.01,2.263,28.4217,0.008567762,0.001432238,0.143223776,-0.274217,0.284217,28.4217
512,150,5350000,0.1,0.005760424,0.006666667,2.26304,23.29496,0.006135221,0.000531446,0.079716859,-0.148633067,0.155299733,23.29496
1,175,5350000,0,0.005952622,0.005714286,NaN,0,0.005714286,0,0,0.005714286,0,0
1,90,5350000,0,0.011574602,0.011111111,NaN,0,0.011111111,0,0,0.011111111,0,0
8,25,5350000,0.24,0.027468981,0.04,2.26285,10.01466,0.026794955,0.013205045,0.330126114,-0.3605864,0.4005864,10.01466
8,15,5350000,0.34,0.042778582,0.066666667,2.26306,10.33814,0.028801178,0.037865489,0.567982335,-0.622542667,0.689209333,10.33814
2096,5,5350000,0.85,0.031313606,0.2,2.263,32.27317,-0.450529033,0.650529033,3.252645166,-6.254634,6.454634,32.27317
32,65,5350000,0.17,0.011647951,0.015384615,2.26285,18.25695,0.012680204,0.002704411,0.175786738,-0.265491538,0.280876154,18.25695
128,10,5350000,0.62,0.034681676,0.1,2.263,21.71317,-0.01776907,0.11776907,1.177690697,-2.071317,2.171317,21.71317
8,105,5350000,0.1,0.009577407,0.00952381,2.26269,9.18679,0.008837107,0.000686703,0.072103802,-0.077969429,0.087493238,9.18679
2096,130,5350000,0.18,0.005474728,0.007692308,2.26297,28.13561,0.00685336,0.000838947,0.109063153,-0.208735462,0.216427769,28.13561
1,130,5350000,0,0.008013151,0.007692308,NaN,0,0.007692308,0,0,0.007692308,0,0
512,140,5350000,0.17,0.006814882,0.007142857,2.26304,23.91627,0.006516507,0.00062635,0.087688952,-0.163687643,0.1708305,23.91627
8,155,5350000,0.05,0.006520412,0.006451613,2.26279,9.29228,0.006132868,0.000318744,0.049405383,-0.053498581,0.059950194,9.29228
1,70,5350000,0,0.014881659,0.014285714,NaN,0,0.014285714,0,0,0.014285714,0,0
2096,60,5350000,0.27,0.011294215,0.016666667,2.26299,28.56218,0.012668564,0.003998102,0.239886147,-0.459369667,0.476036333,28.56218
8,150,5350000,0.08,0.006419386,0.006666667,2.26298,9.21904,0.006329001,0.000337666,0.050649845,-0.0547936,0.061460267,9.21904
1,40,5350000,0,0.02604303,0.025,NaN,0,0.025,0,0,0.025,0,0
512,20,5350000,0.54,0.024034394,0.05,2.26302,25.06147,0.017839261,0.032160739,0.643214775,-1.2030735,1.2530735,25.06147
2096,120,5350000,0.26,0.00647373,0.008333333,2.26301,28.0973,0.007350076,0.000983257,0.117990872,-0.225810833,0.234144167,28.0973
32,185,5350000,0.07,0.004368435,0.005405405,2.26314,17.08879,0.005092913,0.000312492,0.057811045,-0.086966432,0.092371838,17.08879
8,85,5350000,0.14,0.010420288,0.011764706,2.26327,9.18668,0.010716843,0.001047863,0.089068337,-0.096313882,0.108078588,9.18668
32,30,5350000,0.36,0.023274412,0.033333333,2.26303,19.37607,0.019859399,0.013473934,0.404218026,-0.612535667,0.645869,19.37607
8,130,5350000,0.1,0.007890659,0.007692308,2.26257,9.24232,0.007241618,0.00045069,0.058589707,-0.063402462,0.071094769,9.24232
32,75,5350000,0.17,0.013517954,0.013333333,2.26299,17.89037,0.011342807,0.001990527,0.149289511,-0.225204933,0.238538267,17.89037
512,45,5350000,0.34,0.01486006,0.022222222,2.26298,23.83202,0.016181132,0.00604109,0.271849042,-0.507378222,0.529600444,23.83202
128,105,5350000,0.1,0.007675811,0.00952381,2.26296,19.51091,0.008563952,0.000959858,0.100785078,-0.176294381,0.18581819,19.51091
512,60,5350000,0.3,0.012136134,0.016666667,2.263,23.87858,0.013261915,0.003404752,0.20428511,-0.381309667,0.397976333,23.87858
32,120,5350000,0.17,0.0072491,0.008333333,2.2629,17.79957,0.00755973,0.000773603,0.092832384,-0.139996417,0.14832975,17.79957
128,80,5350000,0.23,0.009105185,0.0125,2.26295,20.04602,0.010801145,0.001698855,0.135908364,-0.23807525,0.25057525,20.04602
32,35,5350000,0.33,0.020148068,0.028571429,2.26297,19.75073,0.018480798,0.01009063,0.353172065,-0.535735143,0.564306571,19.75073
512,165,5350000,0.15,0.00510321,0.006060606,2.26303,23.42968,0.005618855,0.000441751,0.072888981,-0.135937455,0.141998061,23.42968
