nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
512,25.0,26750000,0.83,0.0072177777859681646,0.04,11.17901
1,5.0,26750000,0.0,0.2083628514039489,0.2,NaN
32,195.0,26750000,0.28,0.0036873219517002537,0.005128205128205128,11.17892
128,45.0,26750000,0.64,0.007641068152714076,0.022222222222222223,11.17905
2096,5.0,26750000,0.97,0.006229048198784567,0.2,11.17899
512,110.0,26750000,0.52,0.004469786345106661,0.00909090909090909,11.17902
1,30.0,26750000,0.0,0.0347242116301802,0.03333333333333333,NaN
512,15.0,26750000,0.89,0.007597290947028946,0.06666666666666667,11.17901
128,15.0,26750000,0.86,0.009194835725254516,0.06666666666666667,11.179
1,100.0,26750000,0.0,0.010417133267427605,0.01,NaN
2096,40.0,26750000,0.77,0.005877171082471164,0.025,11.17899
2096,135.0,26750000,0.56,0.0038551357981419427,0.007407407407407408,11.17897
1,165.0,26750000,0.0,0.006313413902175293,0.006060606060606061,NaN
2096,180.0,26750000,0.48,0.0033215404110013714,0.005555555555555556,11.17898
128,55.0,26750000,0.66,0.006698208081977493,0.01818181818181818,11.17906
8,80.0,26750000,0.36,0.009160644711218621,0.0125,11.17908
2096,75.0,26750000,0.66,0.004896330689781078,0.013333333333333334,11.17899
8,15.0,26750000,0.77,0.01696811145108084,0.06666666666666667,11.17903
2096,140.0,26750000,0.51,0.0035818919082710042,0.007142857142857143,11.17899
32,85.0,26750000,0.53,0.0061743609284424334,0.011764705882352941,11.17906
32,55.0,26750000,0.59,0.0075698964067401125,0.01818181818181818,11.17892
512,45.0,26750000,0.73,0.006702354516412684,0.022222222222222223,11.17901
2096,95.0,26750000,0.6,0.004291483771665634,0.010526315789473684,11.179
8,75.0,26750000,0.32,0.008265353611225768,0.013333333333333334,11.17931
512,60.0,26750000,0.69,0.006101534567394909,0.016666666666666666,11.17899
128,65.0,26750000,0.53,0.006710066187955938,0.015384615384615385,11.17901
8,165.0,26750000,0.15,0.005169668253599731,0.006060606060606061,11.17915
128,85.0,26750000,0.51,0.0058535290538421336,0.011764705882352941,11.17901
32,40.0,26750000,0.67,0.00919282666850273,0.025,11.17897
2096,155.0,26750000,0.45,0.0036761627396398587,0.0064516129032258064,11.17897
8,45.0,26750000,0.46,0.01290751737723419,0.022222222222222223,11.17913
1,45.0,26750000,0.0,0.023149327049062685,0.022222222222222223,NaN
32,125.0,26750000,0.4,0.005263288645907415,0.008,11.17892
128,160.0,26750000,0.34,0.0037226556839048686,0.00625,11.17899
2096,175.0,26750000,0.48,0.0034173272502630065,0.005714285714285714,11.179
2096,80.0,26750000,0.62,0.004803871306169637,0.0125,11.17899
1,105.0,26750000,0.0,0.009921068967402245,0.009523809523809525,NaN
2096,105.0,26750000,0.55,0.0044579750923124046,0.009523809523809525,11.17899
128,10.0,26750000,0.91,0.009035050126364956,0.1,11.17898
512,155.0,26750000,0.38,0.0039870706146451955,0.0064516129032258064,11.17897
1,150.0,26750000,0.0,0.006944742971937474,0.006666666666666667,NaN
8,90.0,26750000,0.27,0.008001379503143726,0.011111111111111112,11.1791
2096,110.0,26750000,0.57,0.004029263411967364,0.00909090909090909,11.17902
1,55.0,26750000,0.0,0.0189403086702104,0.01818181818181818,NaN
1,160.0,26750000,0.0,0.006510671413640599,0.00625,NaN
32,50.0,26750000,0.59,0.007939814302035142,0.02,11.17884
32,80.0,26750000,0.45,0.006433620789260843,0.0125,11.17891
512,20.0,26750000,0.85,0.007755255644806732,0.05,11.17899
8,150.0,26750000,0.2,0.006145750762740436,0.006666666666666667,11.17874
128,60.0,26750000,0.61,0.007024297043473375,0.016666666666666666,11.17903
32,155.0,26750000,0.32,0.004745770498145495,0.0064516129032258064,11.17895
8,70.0,26750000,0.33,0.009111126681014261,0.014285714285714285,11.17857
32,185.0,26750000,0.29,0.0037128878756500384,0.005405405405405406,11.17897
8,160.0,26750000,0.14,0.00433676883486894,0.00625,11.17893
8,115.0,26750000,0.28,0.006416873967345112,0.008695652173913044,11.1789
512,100.0,26750000,0.53,0.004761931560653804,0.01,11.17898
8,40.0,26750000,0.53,0.013057002743702627,0.025,11.17875
2096,160.0,26750000,0.45,0.0033898659009727965,0.00625,11.17899
32,120.0,26750000,0.37,0.004801226527207693,0.008333333333333333,11.17897
2096,20.0,26750000,0.88,0.006428912964572671,0.05,11.179
1,90.0,26750000,0.0,0.011574601897355041,0.011111111111111112,NaN
128,50.0,26750000,0.65,0.007019067799038072,0.02,11.17898
128,135.0,26750000,0.4,0.004323894272137258,0.007407407407407408,11.17895
1,70.0,26750000,0.0,0.01488165881683967,0.014285714285714285,NaN
2096,70.0,26750000,0.65,0.005177998131527219,0.014285714285714285,11.17901
2096,190.0,26750000,0.46,0.0037093704505180283,0.005263157894736842,11.17899
1,180.0,26750000,0.0,0.005787282862593816,0.005555555555555556,NaN
8,145.0,26750000,0.18,0.00542658080368747,0.006896551724137931,11.17874
2096,85.0,26750000,0.62,0.004423781886574232,0.011764705882352941,11.179
1,85.0,26750000,0.0,0.012255486199035714,0.011764705882352941,NaN
8,85.0,26750000,0.3,0.008406432164758,0.011764705882352941,11.17865
512,125.0,26750000,0.49,0.004488729451213772,0.008,11.17897
2096,165.0,26750000,0.43,0.003236636793053955,0.006060606060606061,11.179
32,45.0,26750000,0.61,0.008789731154412795,0.022222222222222223,11.17895
128,120.0,26750000,0.44,0.004646498609852097,0.008333333333333333,11.17899
128,110.0,26750000,0.45,0.005012966539250425,0.00909090909090909,11.17902
32,25.0,26750000,0.76,0.010309559948656266,0.04,11.17898
32,90.0,26750000,0.43,0.006078177892426812,0.011111111111111112,11.17871
2096,120.0,26750000,0.52,0.0040882574656998264,0.008333333333333333,11.17901
128,75.0,26750000,0.54,0.006209170392743825,0.013333333333333334,11.17889
1,145.0,26750000,0.0,0.007184240936451438,0.006896551724137931,NaN
