nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
8,10.0,535000,0.1,0.0901816529034434,0.1,0.25604
1,195.0,535000,0.0,0.005342108922502507,0.005128205128205128,NaN
1,40.0,535000,0.0,0.02604302985651072,0.025,NaN
32,90.0,535000,0.03,0.010896474772481606,0.011111111111111112,0.25594
32,130.0,535000,0.0,0.007485775716128605,0.007692307692307693,0.25598
32,140.0,535000,0.02,0.006692301751602907,0.007142857142857143,0.25602
1,45.0,535000,0.0,0.023149327049062685,0.022222222222222223,NaN
512,155.0,535000,0.01,0.00650667194140872,0.0064516129032258064,0.25599
8,65.0,535000,0.03,0.01711758376404027,0.015384615384615385,0.25609
2096,25.0,535000,0.16,0.03392348780056553,0.04,0.25599
512,70.0,535000,0.02,0.012904597856597914,0.014285714285714285,0.25602
1,120.0,535000,0.0,0.008680936853649995,0.008333333333333333,NaN
128,30.0,535000,0.06,0.026643845325017613,0.03333333333333333,0.25609
512,45.0,535000,0.02,0.021204648822389226,0.022222222222222223,0.25607
8,85.0,535000,0.04,0.013808790233981665,0.011764705882352941,0.25626
8,55.0,535000,0.04,0.02104134455875038,0.01818181818181818,0.25621
8,115.0,535000,0.0,0.009423358319053804,0.008695652173913044,0.25624
32,135.0,535000,0.01,0.0070740568867358605,0.007407407407407408,0.25594
128,190.0,535000,0.01,0.0063741915612842825,0.005263157894736842,0.25613
2096,110.0,535000,0.04,0.008408424770748503,0.00909090909090909,0.256
512,15.0,535000,0.08,0.05439787804757312,0.06666666666666667,0.25602
8,170.0,535000,0.02,0.006189581560147166,0.0058823529411764705,0.25561
1,85.0,535000,0.0,0.012255486199035714,0.011764705882352941,NaN
2096,70.0,535000,0.05,0.013331061720416175,0.014285714285714285,0.25597
128,135.0,535000,0.03,0.007853659927257832,0.007407407407407408,0.25589
2096,190.0,535000,0.03,0.005405812156244405,0.005263157894736842,0.25601
128,90.0,535000,0.02,0.00997120813650584,0.011111111111111112,0.25597
32,35.0,535000,0.06,0.027059754703323613,0.02857142857142857,0.25608
32,45.0,535000,0.03,0.021114459160518663,0.022222222222222223,0.25602
32,145.0,535000,0.0,0.0074451975758138885,0.006896551724137931,0.25574
128,140.0,535000,0.02,0.006370930615851105,0.007142857142857143,0.25603
8,155.0,535000,0.0,0.00702003905247725,0.0064516129032258064,0.25625
1,190.0,535000,0.0,0.005482698413098737,0.005263157894736842,NaN
8,190.0,535000,0.02,0.0055414633065080324,0.005263157894736842,0.2556
32,160.0,535000,0.01,0.00618153104408161,0.00625,0.25596
512,90.0,535000,0.02,0.010850082243623407,0.011111111111111112,0.25598
128,45.0,535000,0.04,0.022625596382438645,0.022222222222222223,0.25598
1,30.0,535000,0.0,0.0347242116301802,0.03333333333333333,NaN
1,70.0,535000,0.0,0.01488165881683967,0.014285714285714285,NaN
8,80.0,535000,0.01,0.012629308330670655,0.0125,0.25606
128,75.0,535000,0.02,0.013274990634494107,0.013333333333333334,0.256
512,95.0,535000,0.01,0.011288726682429492,0.010526315789473684,0.25599
8,90.0,535000,0.03,0.012968940683955994,0.011111111111111112,0.25625
128,185.0,535000,0.01,0.005077874537805512,0.005405405405405406,0.25604
512,80.0,535000,0.02,0.011100279704848004,0.0125,0.25602
128,160.0,535000,0.05,0.006122250068936536,0.00625,0.256
512,30.0,535000,0.1,0.029883144949987568,0.03333333333333333,0.256
512,65.0,535000,0.01,0.014046314914166481,0.015384615384615385,0.25601
8,140.0,535000,0.0,0.007766313490971894,0.007142857142857143,0.25625
32,175.0,535000,0.0,0.0067876967295112355,0.005714285714285714,0.256
8,100.0,535000,0.03,0.01168674566439266,0.01,0.25627
128,5.0,535000,0.33,0.1279583981655884,0.2,0.25603
512,55.0,535000,0.02,0.018561254087420164,0.01818181818181818,0.25596
32,125.0,535000,0.02,0.006662501270872117,0.008,0.25609
512,120.0,535000,0.0,0.010047550030519435,0.008333333333333333,0.25597
512,35.0,535000,0.08,0.023274134748776872,0.02857142857142857,0.25598
512,60.0,535000,0.03,0.01706500367068229,0.016666666666666666,0.25603
1,50.0,535000,0.0,0.020834401096389524,0.02,NaN
8,145.0,535000,0.02,0.007269873252667789,0.006896551724137931,0.25564
8,135.0,535000,0.03,0.008350302539811321,0.007407407407407408,0.25605
8,5.0,535000,0.15,0.18603612821609958,0.2,0.25621
2096,175.0,535000,0.02,0.005916874072825833,0.005714285714285714,0.25598
128,20.0,535000,0.14,0.0401811688541295,0.05,0.25594
2096,40.0,535000,0.03,0.02401792505782916,0.025,0.25601
2096,170.0,535000,0.03,0.005125542474601655,0.0058823529411764705,0.256
2096,45.0,535000,0.07,0.019231312885191178,0.022222222222222223,0.256
2096,180.0,535000,0.01,0.005615004414797222,0.005555555555555556,0.25601
2096,100.0,535000,0.05,0.009551666732413972,0.01,0.25598
128,165.0,535000,0.0,0.0057075009632834755,0.006060606060606061,0.25602
128,115.0,535000,0.0,0.007579386494139619,0.008695652173913044,0.25602
1,25.0,535000,0.0,0.041669166816675665,0.04,NaN
32,65.0,535000,0.03,0.015560320125578007,0.015384615384615385,0.25588
1,170.0,535000,0.0,0.006127721696528382,0.0058823529411764705,NaN
2096,5.0,535000,0.4,0.10305804125825624,0.2,0.25599
32,15.0,535000,0.13,0.0550549531014382,0.06666666666666667,0.25614
1,10.0,535000,0.0,0.10417686731825825,0.1,NaN
512,110.0,535000,0.03,0.009049556730087468,0.00909090909090909,0.25598
8,180.0,535000,0.03,0.006302589992634163,0.005555555555555556,0.25602
2096,105.0,535000,0.06,0.008917557448911536,0.009523809523809525,0.256
