nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov
128,30.0,5350000,0.37,0.020848178974111148,0.03333333333333333,2.26296,20.20048,0.03238199337733589,0.0009513399559974458,0.028540198679923374
512,60.0,5350000,0.3,0.012199132788048362,0.016666666666666666,2.26301,23.6153,0.016579357660977897,8.730900568876927e-05,0.0052385403413261564
1,155.0,5350000,0.0,0.006720697941792976,0.0064516129032258064,NaN,0,0.0064516129032258064,0.0,0.0
512,140.0,5350000,0.15,0.007038448793455031,0.007142857142857143,2.26303,23.72856,0.007126743883855099,1.6113259002043316e-05,0.0022558562602860645
512,150.0,5350000,0.13,0.00578350702265232,0.006666666666666667,2.26297,23.18333,0.006652952754138063,1.371391252860385e-05,0.0020570868792905775
32,90.0,5350000,0.08,0.010417175589099091,0.011111111111111112,2.26287,17.39731,0.010840805427812425,0.0002703056832986872,0.024327511496881848
8,115.0,5350000,0.1,0.008861873173124845,0.008695652173913044,2.26264,9.27893,0.008468251985552256,0.00022740018836078855,0.02615102166149068
1,10.0,5350000,0.0,0.10417686731825825,0.1,NaN,0,0.1,0.0,0.0
2096,65.0,5350000,0.31,0.010513187997889716,0.015384615384615385,2.26298,28.08084,0.015358534909230143,2.608047538524025e-05,0.0016952309000406163
1,65.0,5350000,0.0,0.016026419231574867,0.015384615384615385,NaN,0,0.015384615384615385,0.0,0.0
512,70.0,5350000,0.27,0.009758923056510473,0.014285714285714285,2.26301,23.48599,0.014221920133892278,6.379415182200678e-05,0.004465590627540475
512,155.0,5350000,0.15,0.0066662724677547395,0.0064516129032258064,2.263,23.40371,0.006438647399696466,1.2965503529340602e-05,0.0020096530470477933
32,80.0,5350000,0.15,0.011171977284688906,0.0125,2.2631,17.43338,0.012157185078880767,0.00034281492111923404,0.027425193689538722
512,85.0,5350000,0.21,0.009414814662782992,0.011764705882352941,2.263,23.99169,0.011720509057956515,4.419682439642623e-05,0.0037567300736962295
2096,95.0,5350000,0.23,0.007347467853174962,0.010526315789473684,2.26298,28.22133,0.010514045285847448,1.227050362623537e-05,0.0011656978444923602
512,65.0,5350000,0.3,0.011037533746701978,0.015384615384615385,2.26301,23.91282,0.015309284657825838,7.533072678954731e-05,0.004896497241320575
